# x        y
6.4670     1.2588    

# Frame1

# x        y
5.6986     4.7839    

# Frame2

# x        y
6.9141     3.2022    

# Frame3

# x        y
7.2530     1.0095    

# Frame4

# x        y
5.6986     4.7839    

# Frame5

# x        y
8.2553     2.8018    

# Frame6

# x        y
7.3534     1.0306    

# Frame7

# x        y
5.6986     4.7839    

# Frame8

# x        y
8.2623     2.8078    

# Frame9

# x        y
7.3017     1.0440    

# Frame10

# x        y
5.6986     4.7839    

# Frame11

# x        y
8.2542     2.8401    

# Frame12

# x        y
7.2508     1.0572    

# Frame13

# x        y
5.6986     4.7839    

# Frame14

# x        y
8.2462     2.8719    

# Frame15

# x        y
7.2008     1.0701    

# Frame16

# x        y
5.6986     4.7839    

# Frame17

# x        y
8.2384     2.9031    

# Frame18

# x        y
7.1516     1.0829    

# Frame19

# x        y
5.6986     4.7839    

# Frame20

# x        y
8.2307     2.9338    

# Frame21

# x        y
7.1032     1.0954    

# Frame22

# x        y
5.6986     4.7839    

# Frame23

# x        y
8.2231     2.9640    

# Frame24

# x        y
7.0557     1.1077    

# Frame25

# x        y
5.6986     4.7839    

# Frame26

# x        y
8.2157     2.9937    

# Frame27

# x        y
7.0089     1.1198    

# Frame28

# x        y
5.6986     4.7839    

# Frame29

# x        y
8.2084     3.0229    

# Frame30

# x        y
6.9629     1.1317    

# Frame31

# x        y
5.6986     4.7839    

# Frame32

# x        y
8.2012     3.0516    

# Frame33

# x        y
6.9177     1.1434    

# Frame34

# x        y
5.6986     4.7839    

# Frame35

# x        y
8.1941     3.0799    

# Frame36

# x        y
6.8732     1.1549    

# Frame37

# x        y
5.6986     4.7839    

# Frame38

# x        y
8.1872     3.1076    

# Frame39

# x        y
6.8295     1.1663    

# Frame40

# x        y
5.6986     4.7839    

# Frame41

# x        y
8.1804     3.1349    

# Frame42

# x        y
6.7865     1.1774    

# Frame43

# x        y
5.6986     4.7839    

# Frame44

# x        y
8.1736     3.1618    

# Frame45

# x        y
6.7442     1.1883    

# Frame46

# x        y
5.6986     4.7839    

# Frame47

# x        y
8.1670     3.1882    

# Frame48

# x        y
6.7026     1.1991    

# Frame49

# x        y
5.6986     4.7839    

# Frame50

# x        y
8.1605     3.2142    

# Frame51

# x        y
6.6618     1.2097    

# Frame52

# x        y
5.6986     4.7839    

# Frame53

# x        y
8.1542     3.2397    

# Frame54

# x        y
6.6215     1.2201    

# Frame55

# x        y
5.6986     4.7839    

# Frame56

# x        y
8.1479     3.2648    

# Frame57

# x        y
6.5820     1.2303    

# Frame58

# x        y
5.6986     4.7839    

# Frame59

# x        y
8.1417     3.2895    

# Frame60

# x        y
6.5431     1.2404    

# Frame61

# x        y
5.6986     4.7839    

# Frame62

# x        y
8.1356     3.3138    

# Frame63

# x        y
6.5049     1.2503    

# Frame64

# x        y
5.6986     4.7839    

# Frame65

# x        y
8.1297     3.3376    

# Frame66

# x        y
6.4673     1.2600    

# Frame67

# x        y
5.6986     4.7839    

# Frame68

# x        y
8.1238     3.3611    

# Frame69

# x        y
6.4304     1.2696    

# Frame70

# x        y
5.6986     4.7839    

# Frame71

# x        y
8.1180     3.3842    

# Frame72

# x        y
6.3940     1.2790    

# Frame73

# x        y
5.6986     4.7839    

# Frame74

# x        y
8.1124     3.4069    

# Frame75

# x        y
6.3583     1.2883    

# Frame76

# x        y
5.6986     4.7839    

# Frame77

# x        y
8.1068     3.4292    

# Frame78

# x        y
6.3231     1.2974    

# Frame79

# x        y
5.6986     4.7839    

# Frame80

# x        y
8.1013     3.4511    

# Frame81

# x        y
6.2886     1.3063    

# Frame82

# x        y
5.6986     4.7839    

# Frame83

# x        y
8.0959     3.4727    

# Frame84

# x        y
6.2546     1.3151    

# Frame85

# x        y
5.6986     4.7839    

# Frame86

# x        y
8.0906     3.4939    

# Frame87

# x        y
6.2212     1.3238    

# Frame88

# x        y
5.6986     4.7839    

# Frame89

# x        y
8.0854     3.5148    

# Frame90

# x        y
6.1883     1.3323    

# Frame91

# x        y
5.6986     4.7839    

# Frame92

# x        y
8.0802     3.5353    

# Frame93

# x        y
6.1560     1.3406    

# Frame94

# x        y
5.6986     4.7839    

# Frame95

# x        y
8.0752     3.5555    

# Frame96

# x        y
6.1242     1.3489    

# Frame97

# x        y
5.6986     4.7839    

# Frame98

# x        y
8.0702     3.5754    

# Frame99

# x        y
6.0930     1.3569    

# Frame100

# x        y
5.6986     4.7839    

# Frame101

# x        y
8.0654     3.5949    

# Frame102

# x        y
6.0623     1.3649    

# Frame103

# x        y
5.6986     4.7839    

# Frame104

# x        y
8.0606     3.6141    

# Frame105

# x        y
6.0320     1.3727    

# Frame106

# x        y
5.6986     4.7839    

# Frame107

# x        y
8.0558     3.6329    

# Frame108

# x        y
6.0023     1.3804    

# Frame109

# x        y
5.6986     4.7839    

# Frame110

# x        y
8.0512     3.6515    

# Frame111

# x        y
5.9731     1.3880    

# Frame112

# x        y
5.6986     4.7839    

# Frame113

# x        y
8.0466     3.6697    

# Frame114

# x        y
5.9444     1.3954    

# Frame115

# x        y
5.6986     4.7839    

# Frame116

# x        y
8.0422     3.6877    

# Frame117

# x        y
5.9162     1.4027    

# Frame118

# x        y
5.6986     4.7839    

# Frame119

# x        y
8.0377     3.7053    

# Frame120

# x        y
5.8884     1.4099    

# Frame121

# x        y
5.6986     4.7839    

# Frame122

# x        y
8.0334     3.7226    

# Frame123

# x        y
5.8611     1.4170    

# Frame124

# x        y
5.6986     4.7839    

# Frame125

# x        y
8.0291     3.7397    

# Frame126

# x        y
5.8342     1.4239    

# Frame127

# x        y
5.6986     4.7839    

# Frame128

# x        y
8.0250     3.7565    

# Frame129

# x        y
5.8078     1.4308    

# Frame130

# x        y
5.6986     4.7839    

# Frame131

# x        y
8.0208     3.7730    

# Frame132

# x        y
5.7818     1.4375    

# Frame133

# x        y
5.6986     4.7839    

# Frame134

# x        y
8.0168     3.7892    

# Frame135

# x        y
5.7563     1.4441    

# Frame136

# x        y
5.6986     4.7839    

# Frame137

# x        y
8.0128     3.8051    

# Frame138

# x        y
5.7312     1.4506    

# Frame139

# x        y
5.6986     4.7839    

# Frame140

# x        y
8.0089     3.8208    

# Frame141

# x        y
5.7065     1.4570    

# Frame142

# x        y
5.6986     4.7839    

# Frame143

# x        y
8.0050     3.8362    

# Frame144

# x        y
5.6822     1.4633    

# Frame145

# x        y
5.6986     4.7839    

# Frame146

# x        y
8.0012     3.8514    

# Frame147

# x        y
5.6583     1.4695    

# Frame148

# x        y
5.6986     4.7839    

# Frame149

# x        y
7.9975     3.8663    

# Frame150

# x        y
5.6348     1.4756    

# Frame151

# x        y
5.6986     4.7839    

# Frame152

# x        y
7.9938     3.8810    

# Frame153

# x        y
5.6118     1.4815    

# Frame154

# x        y
5.6986     4.7839    

# Frame155

# x        y
7.9902     3.8954    

# Frame156

# x        y
5.5890     1.4874    

# Frame157

# x        y
5.6986     4.7839    

# Frame158

# x        y
7.9867     3.9096    

# Frame159

# x        y
5.5667     1.4932    

# Frame160

# x        y
5.6986     4.7839    

# Frame161

# x        y
7.9832     3.9235    

# Frame162

# x        y
5.5448     1.4989    

# Frame163

# x        y
5.6986     4.7839    

# Frame164

# x        y
7.9798     3.9372    

# Frame165

# x        y
5.5232     1.5045    

# Frame166

# x        y
5.6986     4.7839    

# Frame167

# x        y
7.9764     3.9507    

# Frame168

# x        y
5.5020     1.5100    

# Frame169

# x        y
5.6986     4.7839    

# Frame170

# x        y
7.9731     3.9640    

# Frame171

# x        y
5.4811     1.5154    

# Frame172

# x        y
5.6986     4.7839    

# Frame173

# x        y
7.9698     3.9770    

# Frame174

# x        y
5.4606     1.5207    

# Frame175

# x        y
5.6986     4.7839    

# Frame176

# x        y
7.9666     3.9898    

# Frame177

# x        y
5.4404     1.5259    

# Frame178

# x        y
5.6986     4.7839    

# Frame179

# x        y
7.9635     4.0024    

# Frame180

# x        y
5.4205     1.5310    

# Frame181

# x        y
5.6986     4.7839    

# Frame182

# x        y
7.9604     4.0148    

# Frame183

# x        y
5.4010     1.5361    

# Frame184

# x        y
5.6986     4.7839    

# Frame185

# x        y
7.9573     4.0270    

# Frame186

# x        y
5.3818     1.5411    

# Frame187

# x        y
5.6986     4.7839    

# Frame188

# x        y
7.9543     4.0390    

# Frame189

# x        y
5.3630     1.5459    

# Frame190

# x        y
5.6986     4.7839    

# Frame191

# x        y
7.9514     4.0508    

# Frame192

# x        y
5.3444     1.5508    

# Frame193

# x        y
5.6986     4.7839    

# Frame194

# x        y
7.9485     4.0623    

# Frame195

# x        y
5.3261     1.5555    

# Frame196

# x        y
5.6986     4.7839    

# Frame197

# x        y
7.9456     4.0737    

# Frame198

# x        y
5.3082     1.5601    

# Frame199

# x        y
5.6986     4.7839    

# Frame200

# x        y
7.9428     4.0849    

# Frame201

# x        y
5.2906     1.5647    

# Frame202

# x        y
5.6986     4.7839    

# Frame203

# x        y
7.9401     4.0960    

# Frame204

# x        y
5.2732     1.5692    

# Frame205

# x        y
5.6986     4.7839    

# Frame206

# x        y
7.9374     4.1068    

# Frame207

# x        y
5.2562     1.5736    

# Frame208

# x        y
5.6986     4.7839    

# Frame209

# x        y
7.9347     4.1175    

# Frame210

# x        y
5.2394     1.5779    

# Frame211

# x        y
5.6986     4.7839    

# Frame212

# x        y
7.9321     4.1279    

# Frame213

# x        y
5.2229     1.5822    

# Frame214

# x        y
5.6986     4.7839    

# Frame215

# x        y
7.9295     4.1382    

# Frame216

# x        y
5.2067     1.5864    

# Frame217

# x        y
