# x        y
18.7371    2.2230    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame1

# x        y
17.1681    1.0088    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame2

# x        y
16.1391    1.6165    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame3

# x        y
15.1272    2.2141    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame4

# x        y
14.1322    2.8016    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame5

# x        y
13.1538    3.3794    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame6

# x        y
12.1917    3.9476    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame7

# x        y
11.2456    4.5063    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame8

# x        y
10.3153    5.0557    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame9

# x        y
9.4005     5.5959    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame10

# x        y
8.5009     6.1271    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame11

# x        y
7.6163     6.6495    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame12

# x        y
6.7465     7.1632    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame13

# x        y
5.8912     7.6683    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame14

# x        y
5.0501     8.1649    
3.1169     18.5123   
15.2098    18.2782   
2.2755     34.3060   
3.3632     1.3970    
12.7423    5.9349    

# Frame15

# x        y
