# x        y
1.7233     36.5468   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0047     38.4070   
5.0982     3.8729    

# Frame1

# x        y
2.6362     34.7673   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0048     38.4070   
5.0982     3.8729    

# Frame2

# x        y
3.5339     33.0175   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0048     38.4070   
5.0982     3.8729    

# Frame3

# x        y
4.4166     31.2968   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0049     38.4070   
5.0982     3.8729    

# Frame4

# x        y
5.2846     29.6048   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0049     38.4070   
5.0982     3.8729    

# Frame5

# x        y
6.1382     27.9410   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0049     38.4070   
5.0982     3.8729    

# Frame6

# x        y
6.9775     26.3050   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0049     38.4070   
5.0982     3.8729    

# Frame7

# x        y
7.8028     24.6962   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0049     38.4070   
5.0982     3.8729    

# Frame8

# x        y
8.6144     23.1142   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame9

# x        y
9.4125     21.5585   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame10

# x        y
10.1972    20.0289   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame11

# x        y
10.9689    18.5247   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame12

# x        y
11.7277    17.0455   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame13

# x        y
12.4739    15.5911   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame14

# x        y
13.2076    14.1608   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame15

# x        y
13.9291    12.7544   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame16

# x        y
14.6386    11.3715   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame17

# x        y
15.3362    10.0116   
14.2686    19.8191   
16.0783    7.1233    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame18

# x        y
15.9511    9.0029    
14.2686    19.8191   
16.1495    6.7947    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame19

# x        y
16.4026    8.7129    
14.2686    19.8191   
16.3726    5.7697    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame20

# x        y
16.8465    8.4277    
14.2686    19.8191   
16.5919    4.7619    
1.2401     19.2853   
1.0050     38.4070   
5.0982     3.8729    

# Frame21

# x        y
